Turned OFF
         213968 function calls (208766 primitive calls) in 4.224 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.004    0.004 bz2.py:1()
        2    0.000    0.000    0.004    0.002 base_events.py:988(create_connection)
      125    0.002    0.000    0.004    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.004    0.004 connection.py:1()
        1    0.000    0.000    0.004    0.004 string.py:69(__init_subclass__)
      556    0.003    0.000    0.004    0.000 dataclasses.py:449(_field_init)
        2    0.000    0.000    0.004    0.002 base_events.py:1125(_create_connection_transport)
        1    0.000    0.000    0.004    0.004 sysconfig.py:527(_init_posix)
        3    0.004    0.001    0.004    0.001 {method 'AddSerializedFile' of 'google._upb._message.DescriptorPool' objects}
      290    0.001    0.000    0.004    0.000 :920(find_spec)
      285    0.002    0.000    0.004    0.000 dataclasses.py:401(_tuple_str)
      663    0.003    0.000    0.004    0.000 dataclasses.py:820(_set_qualname)
       33    0.000    0.000    0.004    0.000 typing.py:1595(copy_with)
        2    0.000    0.000    0.004    0.002 threading.py:945(start)
  366/116    0.003    0.000    0.004    0.000 _parser.py:178(getwidth)
        7    0.000    0.000    0.004    0.001 selector_events.py:955(_read_ready)
        1    0.000    0.000    0.004    0.004 parse.py:1()
       74    0.002    0.000    0.004    0.000 enum.py:1008(_find_new_)
    30/29    0.000    0.000    0.004    0.000 model.py:85(from_pb)
        7    0.001    0.000    0.004    0.001 selector_events.py:995(_read_ready__data_received)
        1    0.000    0.000    0.004    0.004 noise_backend.py:1()
      828    0.003    0.000    0.004    0.000 enum.py:79(_is_private)
      666    0.003    0.000    0.004    0.000 :84(_unpack_uint32)
     1618    0.004    0.000    0.004    0.000 _parser.py:240(__next)
        1    0.000    0.000    0.004    0.004 thread.py:161(submit)
        1    0.000    0.000    0.004    0.004 padding.py:1()
       40    0.004    0.000    0.004    0.000 {built-in method posix.listdir}
     1699    0.003    0.000    0.004    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.004    0.004 thread.py:180(_adjust_thread_count)
      341    0.002    0.000    0.004    0.000 dataclasses.py:368(field)
      222    0.003    0.000    0.004    0.000 enum.py:933(_check_for_existing_members_)
      950    0.003    0.000    0.004    0.000 enum.py:48(_is_dunder)
      222    0.002    0.000    0.004    0.000 :675(_validate_timestamp_pyc)
       40    0.001    0.000    0.003    0.000 :1699(path_hook_for_FileFinder)
        1    0.000    0.000    0.003    0.003 keypairs.py:1()
     8101    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.003    0.003 message_factory.py:1()
       80    0.001    0.000    0.003    0.000 typing.py:1279(__init__)
        3    0.000    0.000    0.003    0.001 threading.py:295(wait)
        2    0.000    0.000    0.003    0.002 threading.py:611(wait)
        1    0.000    0.000    0.003    0.003 runners.py:62(__exit__)
      292    0.001    0.000    0.003    0.000 :748(find_spec)
        1    0.000    0.000    0.003    0.003 runners.py:65(close)
      294    0.002    0.000    0.003    0.000 :198(cb)
        1    0.000    0.000    0.003    0.003 ciphers.py:1()
       13    0.003    0.000    0.003    0.000 {method 'acquire' of '_thread.lock' objects}
    61/60    0.002    0.000    0.003    0.000 model.py:61(__post_init__)
     1455    0.002    0.000    0.003    0.000 :1026(__enter__)
     1455    0.002    0.000    0.003    0.000 :1030(__exit__)
      658    0.003    0.000    0.003    0.000 enum.py:747(__delattr__)
       11    0.003    0.000    0.003    0.000 {built-in method builtins.eval}
      583    0.002    0.000    0.003    0.000 :405(parent)
       28    0.001    0.000    0.003    0.000 dataclasses.py:1455(replace)
        1    0.000    0.000    0.003    0.003 timeouts.py:1()
       94    0.001    0.000    0.003    0.000 enum.py:1525(__and__)
      186    0.003    0.000    0.003    0.000 inspect.py:1790(_shadowed_dict)
        1    0.000    0.000    0.003    0.003 connection.py:95(start_handshake)
        7    0.003    0.000    0.003    0.000 hashes.py:14(hash)
      144    0.003    0.000    0.003    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.003    0.003 __init__.py:421(PercentStyle)
        1    0.000    0.000    0.003    0.003 const.py:1()
        1    0.000    0.000    0.003    0.003 noise_protocol.py:88(initialise_handshake_state)
        3    0.001    0.000    0.003    0.001 builder.py:26(BuildMessageAndEnumDescriptors)
        1    0.000    0.000    0.003    0.003 queue.py:1()
      294    0.002    0.000    0.003    0.000 :71(__init__)
     5803    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.003    0.001 patterns.py:1()
        1    0.000    0.000    0.003    0.003 state.py:236(initialize)
        1    0.000    0.000    0.003    0.003 ipaddress.py:2332(_IPv6Constants)
       35    0.001    0.000    0.003    0.000 ipaddress.py:2256(__init__)
        1    0.000    0.000    0.003    0.003 argparse.py:1()
        1    0.000    0.000    0.003    0.003 state.py:95(initialize_symmetric)
      160    0.002    0.000    0.003    0.000 enum.py:772(__getattr__)
       28    0.000    0.000    0.003    0.000 object_id.py:88(compute_entity_object_id)
      828    0.002    0.000    0.003    0.000 enum.py:59(_is_sunder)
     3890    0.003    0.000    0.003    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.003    0.003 ipaddress.py:1569(_IPv4Constants)
       95    0.002    0.000    0.003    0.000 dataclasses.py:392(_fields_in_init_order)
     1962    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
       95    0.001    0.000    0.003    0.000 dataclasses.py:573()
       28    0.000    0.000    0.003    0.000 object_id.py:45(compute_object_id)
      141    0.000    0.000    0.003    0.000 typing.py:715()
      109    0.000    0.000    0.003    0.000 __init__.py:163(match)
      888    0.001    0.000    0.003    0.000 :134()
       21    0.000    0.000    0.003    0.000 ipaddress.py:1502(__init__)
     4574    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
      638    0.001    0.000    0.003    0.000 typing.py:1266(_is_dunder)
     2392    0.003    0.000    0.003    0.000 {built-in method _imp.acquire_lock}
