Turned OFF
         213968 function calls (208766 primitive calls) in 4.224 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 futures.py:409(wrap_future)
        3    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
        1    0.000    0.000    0.000    0.000 selector_events.py:356(remove_writer)
        1    0.000    0.000    0.000    0.000 subprocess.py:1259(wait)
       18    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
      119    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
      142    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 text_encoding.py:33()
        1    0.000    0.000    0.000    0.000 _core.py:145(Zeroconf)
      222    0.000    0.000    0.000    0.000 :1122(get_filename)
        1    0.000    0.000    0.000    0.000 net.py:50(ServiceStateChange)
        1    0.000    0.000    0.000    0.000 model.py:1134(WaterHeaterStateFlag)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        6    0.000    0.000    0.000    0.000 events.py:107(__init__)
        1    0.000    0.000    0.000    0.000 _serialization.py:16(PBES)
        6    0.000    0.000    0.000    0.000 events.py:151(cancel)
        3    0.000    0.000    0.000    0.000 __init__.py:1734(isEnabledFor)
        1    0.000    0.000    0.000    0.000 backend.py:31(Backend)
        2    0.000    0.000    0.000    0.000 __init__.py:72(CFUNCTYPE)
        6    0.000    0.000    0.000    0.000 :150(dirname)
        1    0.000    0.000    0.000    0.000 model.py:894(LockCommand)
        1    0.000    0.000    0.000    0.000 client.py:225(APIClient)
       14    0.000    0.000    0.000    0.000 typing.py:2609(overload)
        1    0.000    0.000    0.000    0.000 net.py:57(IPVersion)
        1    0.000    0.000    0.000    0.000 model.py:335(LegacyCoverCommand)
        1    0.000    0.000    0.000    0.000 model.py:554(LastResetType)
      184    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        1    0.000    0.000    0.000    0.000 model.py:341(CoverOperation)
        1    0.000    0.000    0.000    0.000 model.py:141(ZWaveProxyRequestType)
      195    0.000    0.000    0.000    0.000 inspect.py:3019(return_annotation)
      3/1    0.000    0.000    0.000    0.000 dataclasses.py:1354(_astuple_inner)
       21    0.000    0.000    0.000    0.000 __init__.py:228(_acquireLock)
        1    0.000    0.000    0.000    0.000 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 x25519.py:16(from_public_bytes)
        1    0.000    0.000    0.000    0.000 runtime_version.py:21(Domain)
        1    0.000    0.000    0.000    0.000 state.py:164(encrypt_and_hash)
        1    0.000    0.000    0.000    0.000 binding.py:83(_verify_package_version)
      265    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:2021(_wait)
        1    0.000    0.000    0.000    0.000 selector_events.py:670(_sock_connect_cb)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1()
      195    0.000    0.000    0.000    0.000 inspect.py:3015(parameters)
        1    0.000    0.000    0.000    0.000 runners.py:193(_cancel_all_tasks)
        1    0.000    0.000    0.000    0.000 host_resolver.py:169(_async_ip_address_to_addrinfo)
        3    0.000    0.000    0.000    0.000 __init__.py:59(__aenter__)
        1    0.000    0.000    0.000    0.000 model.py:1691(VoiceAssistantCommandFlag)
       13    0.000    0.000    0.000    0.000 enum.py:922()
        9    0.000    0.000    0.000    0.000 :682(__setitem__)
        1    0.000    0.000    0.000    0.000 datetime.py:2293(timezone)
        3    0.000    0.000    0.000    0.000 selectors.py:365(unregister)
        1    0.000    0.000    0.000    0.000 model.py:1182(TextMode)
        1    0.000    0.000    0.000    0.000 net.py:41(InterfaceChoice)
        1    0.000    0.000    0.000    0.000 trsock.py:1()
        1    0.000    0.000    0.000    0.000 model.py:158(InfraredCapability)
        1    0.000    0.000    0.000    0.000 model.py:330(LegacyCoverState)
        1    0.000    0.000    0.000    0.000 _transport.py:1()
        4    0.000    0.000    0.000    0.000 {function socket.close at 0x7f953519e0}
       90    0.000    0.000    0.000    0.000 {built-in method from_iterable}
        1    0.000    0.000    0.000    0.000 ssh.py:887(SSHCertificateType)
        1    0.000    0.000    0.000    0.000 _asymmetric.py:1()
       54    0.000    0.000    0.000    0.000 :1220(__init__)
        1    0.000    0.000    0.000    0.000 base_futures.py:1()
        1    0.000    0.000    0.000    0.000 __init__.py:1243(__init__)
        1    0.000    0.000    0.000    0.000 model.py:783(NumberInfo)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f93b080e0}
        1    0.000    0.000    0.000    0.000 timeouts.py:85(__aenter__)
      222    0.000    0.000    0.000    0.000 :931(create_module)
        1    0.000    0.000    0.000    0.000 tasks.py:42(all_tasks)
        2    0.000    0.000    0.000    0.000 functools.py:651(cache)
       50    0.000    0.000    0.000    0.000 typing.py:916(__eq__)
        1    0.000    0.000    0.000    0.000 model.py:1159(WaterHeaterState)
        3    0.000    0.000    0.000    0.000 platform.py:914(system)
      5/4    0.000    0.000    0.000    0.000 :1311(__iter__)
       95    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 model.py:1141(WaterHeaterInfo)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
        2    0.000    0.000    0.000    0.000 functools.py:852(register)
        1    0.000    0.000    0.000    0.000 singleton.py:1()
       16    0.000    0.000    0.000    0.000 :389(normpath)
        1    0.000    0.000    0.000    0.000 model.py:441(LightInfo)
       16    0.000    0.000    0.000    0.000 utils.py:78(__getattr__)
        1    0.000    0.000    0.000    0.000 argparse.py:157(HelpFormatter)
        1    0.000    0.000    0.000    0.000 utils.py:133(Enum)
        1    0.000    0.000    0.000    0.000 model.py:398(FanDirection)
        1    0.000    0.000    0.000    0.000 threading.py:1087(join)
        8    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 state.py:176(decrypt_and_hash)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1280(IPv4Address)
        1    0.000    0.000    0.000    0.000 model.py:213(DeviceInfo)
        4    0.000    0.000    0.000    0.000 enum.py:1772()
        1    0.000    0.000    0.000    0.000 model.py:347(CoverState)
        3    0.000    0.000    0.000    0.000 gettext.py:224(_expand_lang)
        3    0.000    0.000    0.000    0.000 base_events.py:181(_run_until_complete_cb)
        1    0.000    0.000    0.000    0.000 model.py:1676(BluetoothScannerMode)
        4    0.000    0.000    0.000    0.000 threading.py:243(__init__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1914(IPv6Address)
        1    0.000    0.000    0.000    0.000 _shared.py:159(sockaddr_in)
        1    0.000    0.000    0.000    0.000 log.py:1()
        2    0.000    0.000    0.000    0.000 :1276(__init__)
        1    0.000    0.000    0.000    0.000 threads.py:1()
        2    0.000    0.000    0.000    0.000 functools.py:188(total_ordering)
        4    0.000    0.000    0.000    0.000 uuid.py:139(__init__)
        6    0.000    0.000    0.000    0.000 argparse.py:987(__init__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:219(is_python_build)
        1    0.000    0.000    0.000    0.000 threading.py:440(acquire)
        1    0.000    0.000    0.000    0.000 model.py:1703(VoiceAssistantCommand)
        1    0.000    0.000    0.000    0.000 model.py:997(MediaPlayerFormatPurpose)
        1    0.000    0.000    0.000    0.000 _tzpath.py:31(_parse_python_tzpath)
        1    0.000    0.000    0.000    0.000 functools.py:861()
       10    0.000    0.000    0.000    0.000 typing.py:1981(_caller)
        1    0.000    0.000    0.000    0.000 encoder.py:397(TagBytes)
      7/5    0.000    0.000    0.000    0.000 :1297(_recalculate)
        1    0.000    0.000    0.000    0.000 pathlib.py:455(PurePath)
       37    0.000    0.000    0.000    0.000 argparse.py:1395(register)
        1    0.000    0.000    0.000    0.000 pathlib.py:112(_WindowsFlavour)
      121    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 wire_format.py:1()
        1    0.000    0.000    0.000    0.000 _shared.py:167(sockaddr_in6)
       46    0.000    0.000    0.000    0.000 :41(_get_sep)
        3    0.000    0.000    0.000    0.000 events.py:762(get_event_loop_policy)
        1    0.000    0.000    0.000    0.000 socket.py:651(socketpair)
        2    0.000    0.000    0.000    0.000 argparse.py:1965(take_action)
        1    0.000    0.000    0.000    0.000 connection.py:69(set_as_initiator)
        2    0.000    0.000    0.000    0.000 model.py:45(convert_list)
       32    0.000    0.000    0.000    0.000 dataclasses.py:1253(_is_dataclass_instance)
        1    0.000    0.000    0.000    0.000 model.py:170(VoiceAssistantSubscriptionFlag)
        9    0.000    0.000    0.000    0.000 :1293(_get_parent_path)
        3    0.000    0.000    0.000    0.000 selectors.py:234(register)
      118    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pathlib.py:857(Path)
        2    0.000    0.000    0.000    0.000 datetime.py:765(__neg__)
       17    0.000    0.000    0.000    0.000 enum.py:794(__iter__)
        1    0.000    0.000    0.000    0.000 functools.py:800(singledispatch)
        4    0.000    0.000    0.000    0.000 decoder.py:297(_StructPackDecoder)
       55    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 events.py:207(AbstractEventLoop)
        1    0.000    0.000    0.000    0.000 model.py:1278(HomeassistantServiceCall)
       13    0.000    0.000    0.000    0.000 selectors.py:215(_fileobj_lookup)
        6    0.000    0.000    0.000    0.000 socket.py:99(_intenum_converter)
        1    0.000    0.000    0.000    0.000 base_events.py:1411(_ensure_resolved)
        1    0.000    0.000    0.000    0.000 timeouts.py:50(reschedule)
       15    0.000    0.000    0.000    0.000 ssl.py:1000(_sslcopydoc)
      189    0.000    0.000    0.000    0.000 api_implementation.py:130(Type)
        1    0.000    0.000    0.000    0.000 _shared.py:156(sockaddr)
       12    0.000    0.000    0.000    0.000 base_futures.py:14(isfuture)
        1    0.000    0.000    0.000    0.000 model.py:1584(BluetoothGATTService)
       26    0.000    0.000    0.000    0.000 typing.py:284(_check_generic)
        1    0.000    0.000    0.000    0.000 subprocess.py:695(_use_posix_spawn)
        1    0.000    0.000    0.000    0.000 events.py:754(_init_event_loop_policy)
        3    0.000    0.000    0.000    0.000 platform.py:825(uname)
        1    0.000    0.000    0.000    0.000 descriptor.py:533(FieldDescriptor)
       10    0.000    0.000    0.000    0.000 enum.py:1357(_iter_member_by_value_)
        1    0.000    0.000    0.000    0.000 ssl.py:484(SSLContext)
        2    0.000    0.000    0.000    0.000 signal.py:56(signal)
        1    0.000    0.000    0.000    0.000 _conditional.py:1()
      288    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 base.py:78(Cipher)
        5    0.000    0.000    0.000    0.000 typing.py:1298(__mro_entries__)
        1    0.000    0.000    0.000    0.000 futures.py:365(_chain_future)
        1    0.000    0.000    0.000    0.000 queue.py:28(Queue)
        3    0.000    0.000    0.000    0.000 datetime.py:1673(__new__)
       94    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
        3    0.000    0.000    0.000    0.000 :397(abspath)
        1    0.000    0.000    0.000    0.000 base_events.py:192(_set_nodelay)
       11    0.000    0.000    0.000    0.000 base_events.py:1844(_add_callback)
       31    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 uuid.py:85(UUID)
        1    0.000    0.000    0.000    0.000 model.py:124(BluetoothProxySubscriptionFlag)
        1    0.000    0.000    0.000    0.000 subprocess.py:2008(_try_wait)
        1    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
        2    0.000    0.000    0.000    0.000 threading.py:562(__init__)
        2    0.000    0.000    0.000    0.000 _compiler.py:391(_bytes_to_codes)
        3    0.000    0.000    0.000    0.000 :422(spec_from_loader)
        1    0.000    0.000    0.000    0.000 format_helpers.py:1()
       10    0.000    0.000    0.000    0.000 :60(isabs)
        1    0.000    0.000    0.000    0.000 _serialization.py:55(ParameterFormat)
        1    0.000    0.000    0.000    0.000 model.py:560(SensorInfo)
        1    0.000    0.000    0.000    0.000 datetime.py:1665(datetime)
        1    0.000    0.000    0.000    0.000 encoder.py:388(_VarintBytes)
        1    0.000    0.000    0.000    0.000 model.py:1344(UserService)
        1    0.000    0.000    0.000    0.000 model.py:189(convert)
        1    0.000    0.000    0.000    0.000 model.py:137(ZWaveProxyFeature)
        6    0.000    0.000    0.000    0.000 argparse.py:964(__init__)
        2    0.000    0.000    0.000    0.000 backend.py:13(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1125(_wait_for_tstate_lock)
        1    0.000    0.000    0.000    0.000 state.py:41(encrypt_with_ad)
        1    0.000    0.000    0.000    0.000 _oid.py:13(ExtensionOID)
        1    0.000    0.000    0.000    0.000 queues.py:21(Queue)
        1    0.000    0.000    0.000    0.000 model.py:1187(TextInfo)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
        3    0.000    0.000    0.000    0.000 socket.py:515(family)
       21    0.000    0.000    0.000    0.000 __init__.py:237(_releaseLock)
        1    0.000    0.000    0.000    0.000 hmac.py:1()
        1    0.000    0.000    0.000    0.000 model.py:1002(MediaPlayerSupportedFormat)
        1    0.000    0.000    0.000    0.000 dsa.py:34(DSAPrivateKey)
       42    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
        1    0.000    0.000    0.000    0.000 selector_events.py:1120(_call_connection_lost)
        1    0.000    0.000    0.000    0.000 tempfile.py:682(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 pickle.py:407(_Pickler)
        1    0.000    0.000    0.000    0.000 model.py:403(FanState)
        2    0.000    0.000    0.000    0.000 :770(create_module)
        2    0.000    0.000    0.000    0.000 types.py:247(coroutine)
        1    0.000    0.000    0.000    0.000 selector_events.py:43(BaseSelectorEventLoop)
        2    0.000    0.000    0.000    0.000 util.py:46(address_is_local)
       10    0.000    0.000    0.000    0.000 argparse.py:1599(_pop_action_class)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1611(_BaseV6)
        1    0.000    0.000    0.000    0.000 datetime.py:893(date)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:63(__iter__)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.dlopen}
        2    0.000    0.000    0.000    0.000 selectors.py:588(_can_use)
        3    0.000    0.000    0.000    0.000 socket.py:220(__init__)
        1    0.000    0.000    0.000    0.000 dataclasses.py:233(wrapper)
        1    0.000    0.000    0.000    0.000 noise_protocol.py:108(from_protocol_name)
        2    0.000    0.000    0.000    0.000 selector_events.py:247(_ensure_fd_no_transport)
       19    0.000    0.000    0.000    0.000 enum.py:806(__members__)
        1    0.000    0.000    0.000    0.000 model.py:1051(MediaPlayerEntityState)
        1    0.000    0.000    0.000    0.000 model.py:1681(BluetoothScannerStateResponse)
        1    0.000    0.000    0.000    0.000 selectors.py:80(BaseSelector)
        1    0.000    0.000    0.000    0.000 model.py:1539(BluetoothGATTCharacteristic)
        1    0.000    0.000    0.000    0.000 descriptor_pool.py:84(DescriptorPool)
        1    0.000    0.000    0.000    0.000 coroutines.py:11(_is_debug_mode)
        3    0.000    0.000    0.000    0.000 weakref.py:289(update)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167()
        1    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
        1    0.000    0.000    0.000    0.000 {built-in method x25519.from_public_bytes}
      112    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
        1    0.000    0.000    0.000    0.000 __init__.py:576(__init__)
        1    0.000    0.000    0.000    0.000 model.py:931(ValveState)
      128    0.000    0.000    0.000    0.000 text_encoding.py:11(_AsciiIsPrint)
        2    0.000    0.000    0.000    0.000 events.py:803(set_event_loop)
        1    0.000    0.000    0.000    0.000 containers.py:442(MessageMap)
        1    0.000    0.000    0.000    0.000 argparse.py:1154(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 calendar.py:52(_localized_month)
        1    0.000    0.000    0.000    0.000 base_events.py:100(_ipaddr_info)
        1    0.000    0.000    0.000    0.000 state.py:59(decrypt_with_ad)
       30    0.000    0.000    0.000    0.000 client.py:366(is_response)
        1    0.000    0.000    0.000    0.000 model.py:1764(VoiceAssistantConfigurationResponse)
        1    0.000    0.000    0.000    0.000 contextlib.py:558(__exit__)
        1    0.000    0.000    0.000    0.000 _logger.py:34(set_logger_level_if_unset)
        1    0.000    0.000    0.000    0.000 selectors.py:483(close)
        1    0.000    0.000    0.000    0.000 weakref.py:164(__setitem__)
       27    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 base_events.py:664(close)
        3    0.000    0.000    0.000    0.000 socket.py:521(type)
        2    0.000    0.000    0.000    0.000 __init__.py:863(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 client.py:246(_on_stop)
        1    0.000    0.000    0.000    0.000 noise_backend.py:52(map_protocol_name_to_crypto)
        1    0.000    0.000    0.000    0.000 futures.py:30(Future)
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
        2    0.000    0.000    0.000    0.000 :27(isfile)
        6    0.000    0.000    0.000    0.000 {built-in method _heapq.heappush}
        1    0.000    0.000    0.000    0.000 ssl.py:845(SSLObject)
        1    0.000    0.000    0.000    0.000 events.py:648(BaseDefaultEventLoopPolicy)
       10    0.000    0.000    0.000    0.000 argparse.py:844(__init__)
        1    0.000    0.000    0.000    0.000 model.py:1324(UserServiceArg)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
       11    0.000    0.000    0.000    0.000 selectors.py:275(_key_from_fd)
        1    0.000    0.000    0.000    0.000 __init__.py:1467(debug)
        1    0.000    0.000    0.000    0.000 threading.py:1051(_stop)
       13    0.000    0.000    0.000    0.000 decoder.py:209(_SimpleDecoder)
        2    0.000    0.000    0.000    0.000 subprocess.py:1135(_get_devnull)
        1    0.000    0.000    0.000    0.000 _oid.py:92(SignatureAlgorithmOID)
        1    0.000    0.000    0.000    0.000 selectors.py:347(__init__)
        1    0.000    0.000    0.000    0.000 selector_events.py:897(_call_connection_lost)
        1    0.000    0.000    0.000    0.000 ciphers.py:9(encrypt)
        1    0.000    0.000    0.000    0.000 model.py:1773(VoiceAssistantConfigurationRequest)
        1    0.000    0.000    0.000    0.000 ipaddress.py:383(_IPAddressBase)
       55    0.000    0.000    0.000    0.000 __init__.py:424()
       11    0.000    0.000    0.000    0.000 :1()
        1    0.000    0.000    0.000    0.000 _oid.py:57(NameOID)
        1    0.000    0.000    0.000    0.000 random.py:103(Random)
        1    0.000    0.000    0.000    0.000 sslproto.py:263(SSLProtocol)
        5    0.000    0.000    0.000    0.000 datetime.py:515(_check_date_fields)
        2    0.000    0.000    0.000    0.000 datetime.py:923(__new__)
        9    0.000    0.000    0.000    0.000 events.py:68(cancel)
        1    0.000    0.000    0.000    0.000 datetime.py:573(timedelta)
        1    0.000    0.000    0.000    0.000 __init__.py:1460(setLevel)
        1    0.000    0.000    0.000    0.000 model.py:1628(BluetoothGATTServices)
       21    0.000    0.000    0.000    0.000 argparse.py:1399(_registry_get)
        1    0.000    0.000    0.000    0.000 model.py:282(EntityInfo)
        4    0.000    0.000    0.000    0.000 tasks.py:35(current_task)
        1    0.000    0.000    0.000    0.000 noise_protocol.py:68(validate)
        1    0.000    0.000    0.000    0.000 subprocess.py:470(CompletedProcess)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 timeouts.py:97(__aexit__)
        2    0.000    0.000    0.000    0.000 datetime.py:1336(__new__)
        1    0.000    0.000    0.000    0.000 model.py:381(FanInfo)
       17    0.000    0.000    0.000    0.000 __init__.py:202(_checkLevel)
        1    0.000    0.000    0.000    0.000 model.py:909(LockEntityState)
        2    0.000    0.000    0.000    0.000 reprlib.py:12(decorating_function)
        3    0.000    0.000    0.000    0.000 {method 'register' of 'select.epoll' objects}
        1    0.000    0.000    0.000    0.000 functools.py:841(_is_union_type)
        1    0.000    0.000    0.000    0.000 threading.py:429(__init__)
        1    0.000    0.000    0.000    0.000 backend.py:69(__init__)
        1    0.000    0.000    0.000    0.000 model.py:1024(MediaPlayerInfo)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1803(LoggerAdapter)
      102    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
       47    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 encoder.py:352(EncodeVarint)
        1    0.000    0.000    0.000    0.000 socket.py:214(socket)
        1    0.000    0.000    0.000    0.000 model.py:1093(AlarmControlPanelEntityState)
        1    0.000    0.000    0.000    0.000 message.py:34(Message)
        1    0.000    0.000    0.000    0.000 tasks.py:78(Task)
        3    0.000    0.000    0.000    0.000 __init__.py:70(__aexit__)
        1    0.000    0.000    0.000    0.000 keypair.py:4(KeyPair)
       17    0.000    0.000    0.000    0.000 typing.py:479(__repr__)
        3    0.000    0.000    0.000    0.000 {method 'unregister' of 'select.epoll' objects}
        1    0.000    0.000    0.000    0.000 base.py:16(CipherContext)
       55    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       16    0.000    0.000    0.000    0.000 {method 'finalize' of 'cryptography.hazmat.bindings._rust.openssl.hmac.HMAC' objects}
        1    0.000    0.000    0.000    0.000 coroutines.py:1()
        1    0.000    0.000    0.000    0.000 algorithms.py:33(AES)
        1    0.000    0.000    0.000    0.000 selectors.py:442(EpollSelector)
        8    0.000    0.000    0.000    0.000 threading.py:271(__enter__)
        4    0.000    0.000    0.000    0.000 signal.py:36(_enum_to_int)
       21    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       75    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        6    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
        1    0.000    0.000    0.000    0.000 model.py:866(SirenInfo)
        1    0.000    0.000    0.000    0.000 platform.py:778(uname_result)
        1    0.000    0.000    0.000    0.000 argparse.py:1720(ArgumentParser)
        1    0.000    0.000    0.000    0.000 ec.py:142(EllipticCurvePublicKey)
        1    0.000    0.000    0.000    0.000 model.py:369(EventInfo)
        1    0.000    0.000    0.000    0.000 ec.py:74(EllipticCurvePrivateKey)
        1    0.000    0.000    0.000    0.000 ciphers.py:12(decrypt)
        1    0.000    0.000    0.000    0.000 {built-in method posix.read}
       13    0.000    0.000    0.000    0.000 selectors.py:21(_fileobj_to_fd)
       87    0.000    0.000    0.000    0.000 inspect.py:2730(annotation)
       79    0.000    0.000    0.000    0.000 signal.py:21()
       41    0.000    0.000    0.000    0.000 enum_type_wrapper.py:34(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:2475(_get_values)
        7    0.000    0.000    0.000    0.000 {method 'update' of 'cryptography.hazmat.bindings._rust.openssl.hashes.Hash' objects}
        1    0.000    0.000    0.000    0.000 model.py:147(ZWaveProxyFrame)
        1    0.000    0.000    0.000    0.000 sslproto.py:82(_SSLProtocolTransport)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       53    0.000    0.000    0.000    0.000 base_events.py:1954(get_debug)
        2    0.000    0.000    0.000    0.000 weakref.py:367(__init__)
        1    0.000    0.000    0.000    0.000 timeouts.py:129(timeout)
        1    0.000    0.000    0.000    0.000 datetime.py:1311(time)
        3    0.000    0.000    0.000    0.000 state.py:16(__init__)
       26    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
        4    0.000    0.000    0.000    0.000 {built-in method posix.close}
        1    0.000    0.000    0.000    0.000 well_known_types.py:327(Duration)
       12    0.000    0.000    0.000    0.000 utils.py:85(__setattr__)
        1    0.000    0.000    0.000    0.000 futures.py:311(_set_result_unless_cancelled)
        1    0.000    0.000    0.000    0.000 _base.py:325(Future)
        1    0.000    0.000    0.000    0.000 __init__.py:1415(_clear_cache)
        2    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
       39    0.000    0.000    0.000    0.000 base_events.py:518(_check_closed)
        1    0.000    0.000    0.000    0.000 selectors.py:268(close)
        1    0.000    0.000    0.000    0.000 ipaddress.py:609(__str__)
        1    0.000    0.000    0.000    0.000 model.py:1780(VoiceAssistantSetConfiguration)
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
        1    0.000    0.000    0.000    0.000 ec.py:18(EllipticCurveOID)
        1    0.000    0.000    0.000    0.000 __init__.py:912(createLock)
       16    0.000    0.000    0.000    0.000 {method 'update' of 'cryptography.hazmat.bindings._rust.openssl.hmac.HMAC' objects}
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       78    0.000    0.000    0.000    0.000 signal.py:16()
        1    0.000    0.000    0.000    0.000 aead.py:1()
        1    0.000    0.000    0.000    0.000 reconnect_logic.py:58(ReconnectLogic)
        1    0.000    0.000    0.000    0.000 model.py:801(NumberState)
        3    0.000    0.000    0.000    0.000 {built-in method posix.uname}
       18    0.000    0.000    0.000    0.000 enum.py:1652(_simple_enum)
        2    0.000    0.000    0.000    0.000 unix_events.py:1440(set_event_loop)
        2    0.000    0.000    0.000    0.000 signal.py:62(getsignal)
        1    0.000    0.000    0.000    0.000 __init__.py:435(validate)
        5    0.000    0.000    0.000    0.000 _weakrefset.py:39(_remove)
        1    0.000    0.000    0.000    0.000 queue.py:258(_PySimpleQueue)
        1    0.000    0.000    0.000    0.000 message_listener.py:50(NullMessageListener)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2165(IPv6Interface)
      118    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        1    0.000    0.000    0.000    0.000 model.py:854(SelectInfo)
       52    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        9    0.000    0.000    0.000    0.000 state.py:31(has_key)
        2    0.000    0.000    0.000    0.000 noise_backend.py:15(__init__)
        1    0.000    0.000    0.000    0.000 singleton.py:26(wrapper)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:10(BaseSubprocessTransport)
        2    0.000    0.000    0.000    0.000 functools.py:191()
        1    0.000    0.000    0.000    0.000 __init__.py:1432(Logger)
        1    0.000    0.000    0.000    0.000 :16(exists)
       10    0.000    0.000    0.000    0.000 argparse.py:597(format)
        1    0.000    0.000    0.000    0.000 binding.py:56(Binding)
        1    0.000    0.000    0.000    0.000 __init__.py:531(Formatter)
       15    0.000    0.000    0.000    0.000 __init__.py:795(__init__)
        6    0.000    0.000    0.000    0.000 :806(fsencode)
        9    0.000    0.000    0.000    0.000 :1283(_find_parent_path_names)
        1    0.000    0.000    0.000    0.000 x25519.py:15(X25519PublicKey)
        1    0.000    0.000    0.000    0.000 calendar.py:54()
       10    0.000    0.000    0.000    0.000 argparse.py:1612(_check_conflict)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1487(IPv4Network)
        1    0.000    0.000    0.000    0.000 __init__.py:1067(StreamHandler)
        1    0.000    0.000    0.000    0.000 dsa.py:92(DSAPublicKey)
        1    0.000    0.000    0.000    0.000 connection.py:43(set_psks)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165()
        1    0.000    0.000    0.000    0.000 __init__.py:439(LibraryLoader)
       10    0.000    0.000    0.000    0.000 argparse.py:588(_metavar_formatter)
        1    0.000    0.000    0.000    0.000 {method 'public_key' of 'cryptography.hazmat.bindings._rust.openssl.x25519.X25519PrivateKey' objects}
        1    0.000    0.000    0.000    0.000 ed25519.py:67(Ed25519PrivateKey)
